feature,macro_f1_drop
S_MAIN__hit_count,0.1894592796294501
CONV_STORAGE_TO_MAIN__queue_length,0.1257803797395061
CONV_MAIN_D1__busy,0.056677282871846334
D1__mismatch_count,0.028218052160643697
CONV_TO_D__busy,0.024606429351873182
TOTAL_QUEUE,0.014851844879059994
CONV_TO_B__busy,0.011401234674911423
CONV_MAIN_D3__busy,0.010855458581014443
CONV_CI2__queue_length,0.008988201846628593
CONV_TO_A__busy,0.008735342855351158
CONV_X2__busy,0.007569454382914491
MCS__busy,0.006809689466056608
CONV_CI2__busy,0.00660099497652659
CONV_MAIN__mean_transit_time,0.005924783369233633
CONV_MCS_TO_MAIN__exit_count,0.005540444492531327
CONV_MAIN_D1__mean_transit_time,0.004972391148843476
CONV_X2__queue_length,0.0048600529201410225
CONV_CI2__mean_transit_time,0.003740596866659692
CONV_X2__mean_transit_time,0.003443080001140094
CONV_MAIN_D3__mean_transit_time,0.002783444804985121
CONV_MCS_TO_MAIN__busy,0.00267379164381217
CONV_MAIN__queue_length,0.0026700509018937244
CONV_MAIN__busy,0.0024846513198258555
CONV_CI1__queue_length,0.0022862611088699802
CONV_STORAGE_TO_MAIN__mean_transit_time,0.002229550834991508
CONV_TO_MCS__exit_count,0.002052915858878679
CONV_MAIN_D2__mean_transit_time,0.0019144154396126452
CONV_TO_A__exit_count,0.001900019805616678
CONV_TO_A__mean_transit_time,0.001886269796464557
CONV_TO_C__exit_count,0.0016614867679775418
CONV_X1__mean_transit_time,0.0015500333872439838
CONV_X1__busy,0.001302821474826114
CONV_TO_STORAGE__mean_transit_time,0.0012123256256095043
THROUGHPUT,0.0010973514159498359
CONV_TO_MCS__mean_transit_time,0.0010105712698640728
D3__mismatch_count,0.0010042449927830284
CONV_X1__queue_length,0.0009676313936009354
CONV_TO_MCS__queue_length,0.0005563129924101018
CONV_MAIN_D1__queue_length,0.0
CONV_TO_B__queue_length,0.0
CONV_TO_C__queue_length,0.0
CONV_TO_D__queue_length,0.0
CONV_TO_A__queue_length,0.0
CONV_MAIN_D3__queue_length,0.0
CONV_MAIN_D2__queue_length,0.0
CONV_TO_B__mean_transit_time,-4.417477902925645e-05
D2__mismatch_count,-0.0003539034460753321
CONV_TO_C__mean_transit_time,-0.00042170790141578723
CONV_TO_STORAGE__queue_length,-0.0004277667616459461
CONV_TO_B__exit_count,-0.00044130724422541956
CONV_MCS_TO_MAIN__queue_length,-0.000520674476791716
CONV_CI2__exit_count,-0.0005538078197517468
D1__decision_count,-0.0009392214028990006
CONV_MCS_TO_MAIN__mean_transit_time,-0.000953794938227485
CONV_TO_C__busy,-0.000978425361131315
CONV_TO_D__mean_transit_time,-0.0010014375397342883
CONV_CI1__mean_transit_time,-0.0014264150419846338
CONV_CI1__busy,-0.001690001076104693
CONV_MAIN_D2__exit_count,-0.0019304858735251045
TOTAL_BUSY,-0.002095595239899254
CONV_TO_MCS__busy,-0.003053590868186129
CONV_TO_STORAGE__exit_count,-0.0031131571744859774
CONV_MAIN__exit_count,-0.003142225858893751
D2__decision_count,-0.0032409220833155006
MCS__queue_length,-0.003260743000437808
CONV_MAIN_D3__exit_count,-0.003304094911995089
D4__decision_count,-0.0037259241095043785
CONV_X2__exit_count,-0.0037742321184798255
D3__decision_count,-0.004180230505709814
CONV_MAIN_D1__exit_count,-0.004407995151943678
CONV_TO_D__exit_count,-0.004559727399393143
CONV_X1__exit_count,-0.004702915931040737
D4__mismatch_count,-0.005105877014829859
CONV_TO_STORAGE__busy,-0.005370038027986079
CONV_STORAGE_TO_MAIN__busy,-0.005481865471869758
CONV_CI1__exit_count,-0.005514532300413359
CONV_MAIN_D2__busy,-0.006565817734816237
CONV_STORAGE_TO_MAIN__exit_count,-0.008993831239947977
